objectid,title,creator,date,color,description,subject,extent,size,medium,frame status,mat status,source,identifier,format,rights,rightsstatement,available,display_template,object_location,filename,image_small,image_thumb,image_alt_text,dominant color,Copies,Location,Donor if know,type,display_template
artloanprogram_00065,Father and Child,"Dobkin, A.",1970-08,no,Man and child,figures,21 7/8 x 27 3/8,medium,lithograph,Not Framed,Not Matted,"Art Loan, box 3, item 12",artloan_b3_0012,image/jpg,,,yes,image,/objects/artloan_b3_0012.jpg,artloan_b3_0012.jpg,/objects/small/artloan_b3_0012_sm.jpg,/objects/thumbs/artloan_b3_0012_th.jpg,,brown,,CC3_FF_Box2,,,
artloanprogram_00066,Crowland Abbey,"Whimper, J.W.",,no,ink drawing of abbey,cityscape ; realist,20 in x 15 in,medium,drawing,Not Framed,Matted,"Art Loan, box 4, item 1",artloan_b4_0001,image/jpg,,,yes,image,/objects/artloan_b4_0001.jpg,artloan_b4_0001.jpg,/objects/small/artloan_b4_0001_sm.jpg,/objects/thumbs/artloan_b4_0001_th.jpg,,gray,,,,,
artloanprogram_00067,"Clarenbach & Herder, Manufacturers Poster","Sebald, H.",,no,print poster advertising clothing manufacturer,figures ; leisure ; realist,19 in x 21 1/8 in,medium,print,Not Framed,Matted,"Art Loan, box 4, item 2",artloan_b4_0002,image/jpg,,,yes,image,/objects/artloan_b4_0002.jpg,artloan_b4_0002.jpg,/objects/small/artloan_b4_0002_sm.jpg,/objects/thumbs/artloan_b4_0002_th.jpg,,gray,,,,,
artloanprogram_00068,Audubon's America Advertisement,"Bowen, J.T.",1844,yes,fold out pamplet advertisement,animals ; nature ; realist ; landscape,11 3/ 8 in x 21 1/2 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 3",artloan_b4_0003,image/jpg,,,yes,image,/objects/artloan_b4_0003.jpg,artloan_b4_0003.jpg,/objects/small/artloan_b4_0003_sm.jpg,/objects/thumbs/artloan_b4_0003_th.jpg,,brown,,,,,
artloanprogram_00069,Audubon Self-Portrait,"Rinehart, Alan G.",,no,print portrait of Audubon,portrait ; realist ; figures,11 1/2 in x 8 in,small,print,Not Framed,Not Matted,"Art Loan, box 4, item 4",artloan_b4_0004,image/jpg,,,yes,image,/objects/artloan_b4_0004.jpg,artloan_b4_0004.jpg,/objects/small/artloan_b4_0004_sm.jpg,/objects/thumbs/artloan_b4_0004_th.jpg,,gray,,,,,
artloanprogram_00070,Hen Turkey and Young,"Barbour, Thomas",,yes,hen turkey and her young,birds ; animals ; realist ; nature,11 1/2 in x 8 in,small,print,Not Framed,Not Matted,"Art Loan, box 4, item 5",artloan_b4_0005,image/jpg,,,yes,image,/objects/artloan_b4_0005.jpg,artloan_b4_0005.jpg,/objects/small/artloan_b4_0005_sm.jpg,/objects/thumbs/artloan_b4_0005_th.jpg,,brown,,,,,
artloanprogram_00071,Pileated Woodpecker,"Havell, R.",,yes,four woodpeckers on tree branches,animals ; birds ; realist ; nature,15 in x 11 1/2 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 6",artloan_b4_0006,image/jpg,,,yes,image,/objects/artloan_b4_0006.jpg,artloan_b4_0006.jpg,/objects/small/artloan_b4_0006_sm.jpg,/objects/thumbs/artloan_b4_0006_th.jpg,,green,,,,,
artloanprogram_00072,Purple Grackle,"Edin, W.H. Lizars",,yes,two birds eating corn,animals ; birds ; realist ; nature,15 in x 11 1/2 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 7",artloan_b4_0007,image/jpg,,,yes,image,/objects/artloan_b4_0007.jpg,artloan_b4_0007.jpg,/objects/small/artloan_b4_0007_sm.jpg,/objects/thumbs/artloan_b4_0007_th.jpg,,green,,,,,
artloanprogram_00073,Landscape of Town,Unknown,,yes,landscape with pastures and town in background,landscape ; figures ; realist,11 1/2 in x 15 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 8",artloan_b4_0008,image/jpg,,,yes,image,/objects/artloan_b4_0008.jpg,artloan_b4_0008.jpg,/objects/small/artloan_b4_0008_sm.jpg,/objects/thumbs/artloan_b4_0008_th.jpg,,green,,,,,
artloanprogram_00074,"Didelphis Virginiana, Pennant: Virginian Opossum","Bowen, J.T.",1845,no,two opossums on tree branches,animals ; realist ; nature,11 1/2 in x 15 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 9",artloan_b4_0009,image/jpg,,,yes,image,/objects/artloan_b4_0009.jpg,artloan_b4_0009.jpg,/objects/small/artloan_b4_0009_sm.jpg,/objects/thumbs/artloan_b4_0009_th.jpg,,brown,,,,,
artloanprogram_00075,"Ptuorius Vison, Linn.: Mink","Bowen, J.T.",1844,yes,two beavers by river with rocks and trees,animals ; nature ; realist,11 1/2 in x 15 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 10",artloan_b4_0010,image/jpg,,,yes,image,/objects/artloan_b4_0010.jpg,artloan_b4_0010.jpg,/objects/small/artloan_b4_0010_sm.jpg,/objects/thumbs/artloan_b4_0010_th.jpg,,brown,,,,,
artloanprogram_00076,"Cervus Virginianus, Pennant: Common or Virginian Deer","Bowen, J.T.",1848,yes,two deer by a creek in a forest,animals ; nature ; realist,11 1/2 in x 15 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 11",artloan_b4_0011,image/jpg,,,yes,image,/objects/artloan_b4_0011.jpg,artloan_b4_0011.jpg,/objects/small/artloan_b4_0011_sm.jpg,/objects/thumbs/artloan_b4_0011_th.jpg,,brown ; green,,,,,
artloanprogram_00077,"Pteromys Volucella, Gmel.: Common Flying Squirrel","Bowen, J.T.",1843,no,flying squirrels on a tree branch,animals ; nature ; realist,15 in x 11 1/2 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 12",artloan_b4_0012,image/jpg,,,yes,image,/objects/artloan_b4_0012.jpg,artloan_b4_0012.jpg,/objects/small/artloan_b4_0012_sm.jpg,/objects/thumbs/artloan_b4_0012_th.jpg,,brown,,,,,
artloanprogram_00078,"Lynx Canadensis, Geoff.: Canada Lynx","Bowen, J.T.",,yes,lynx in forest,animals ; nature ; realist,11 1/2 in x 15 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 13",artloan_b4_0013,image/jpg,,,yes,image,/objects/artloan_b4_0013.jpg,artloan_b4_0013.jpg,/objects/small/artloan_b4_0013_sm.jpg,/objects/thumbs/artloan_b4_0013_th.jpg,,brown ; green,,,,,
artloanprogram_00079,Carolina Parrot,"Havell, R.",,yes,parrots in tree branches,animals ; birds ; nature ; realist,15 in x 11 1/2 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 14",artloan_b4_0014,image/jpg,,,yes,image,/objects/artloan_b4_0014.jpg,artloan_b4_0014.jpg,/objects/small/artloan_b4_0014_sm.jpg,/objects/thumbs/artloan_b4_0014_th.jpg,,green ; yellow,,,,,
artloanprogram_00080,Canis (Vulpis) Fulvus. Desmaret.: Var. Decussatus: American Cross Fox,"Bowen, J.T.",1843,no,fox with its prey,animals ; nature ; realist,11 1/2 in x 15 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 15",artloan_b4_0015,image/jpg,,,yes,image,/objects/artloan_b4_0015.jpg,artloan_b4_0015.jpg,/objects/small/artloan_b4_0015_sm.jpg,/objects/thumbs/artloan_b4_0015_th.jpg,,brown,,,,,
artloanprogram_00081,"White-headed Eagle, Male","Havell, R.",1828,yes,eagle with its prey,animals ; birds ; nature ; realist,11 1/2 in x 15 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 16",artloan_b4_0016,image/jpg,,,yes,image,/objects/artloan_b4_0016.jpg,artloan_b4_0016.jpg,/objects/small/artloan_b4_0016_sm.jpg,/objects/thumbs/artloan_b4_0016_th.jpg,,,,,,,
artloanprogram_00082,Great Northern Diver or Loon,"Havell, R.",1830,color,two loons at a lake with greenery,animals ; Audubon ; birds,11 1/2 in x 15 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 17",artloan_b4_0017,image/jpg,,,yes,image,/objects/artloan_b4_0017.jpg,artloan_b4_0017.jpg,/objects/small/artloan_b4_0017_sm.jpg,/objects/thumbs/artloan_b4_0017_th.jpg,,,,,,,
artloanprogram_00083,"American Snipe. Male 1. Female 2, 3.","Havell, R.",1835,color,three birds by lake with house in background,animals ; Audubon ; birds,11 1/2 in x 15 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 18",artloan_b4_0018,image/jpg,,,yes,image,/objects/artloan_b4_0018.jpg,artloan_b4_0018.jpg,/objects/small/artloan_b4_0018_sm.jpg,/objects/thumbs/artloan_b4_0018_th.jpg,,,,,,,
artloanprogram_00084,Great Footed Hawk,"Havell, R.",,color,two hawks with their prey,animals ; Audubon ; birds,11 1/2 in x 15 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 19",artloan_b4_0019,image/jpg,,,yes,image,/objects/artloan_b4_0019.jpg,artloan_b4_0019.jpg,/objects/small/artloan_b4_0019_sm.jpg,/objects/thumbs/artloan_b4_0019_th.jpg,,,,,,,
artloanprogram_00085,"Bos Americanus, Gmel: American Bison or Buffalo","Bowen, J.T.",1845,color,bison or buffalo in a field,animals ; Audubon,11 1/2 in x 15 in,medium,print,Not Framed,Not Matted,"Art Loan, box 4, item 20",artloan_b4_0020,image/jpg,,,yes,image,/objects/artloan_b4_0020.jpg,artloan_b4_0020.jpg,/objects/small/artloan_b4_0020_sm.jpg,/objects/thumbs/artloan_b4_0020_th.jpg,,,,,,,
artloanprogram_00086,Snowy Owl,New York Historical Society,1966,color,two snowy owls on tree branch,animals ; Audubon ; birds,20 in x 15 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 21",artloan_b4_0021,image/jpg,,,yes,image,/objects/artloan_b4_0021.jpg,artloan_b4_0021.jpg,/objects/small/artloan_b4_0021_sm.jpg,/objects/thumbs/artloan_b4_0021_th.jpg,,,,,,,
artloanprogram_00087,Cedar Waxwing,New York Historical Society,1966,color,two birds on coniferous tree branch,animals ; Audubon ; birds,20 in x 15 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 22",artloan_b4_0022,image/jpg,,,yes,image,/objects/artloan_b4_0022.jpg,artloan_b4_0022.jpg,/objects/small/artloan_b4_0022_sm.jpg,/objects/thumbs/artloan_b4_0022_th.jpg,,,,,,,
artloanprogram_00088,Snowy Egret,New York Historical Society,1966,color,egret by lake with house in background,animals ; Audubon ; birds,20 in x 15 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 23",artloan_b4_0023,image/jpg,,,yes,image,/objects/artloan_b4_0023.jpg,artloan_b4_0023.jpg,/objects/small/artloan_b4_0023_sm.jpg,/objects/thumbs/artloan_b4_0023_th.jpg,,,,,,,
artloanprogram_00089,Pileated Woodpecker,New York Historical Society,1966,color,four woodpeckers on tree branch,animals ; Audubon ; birds,20 in x 15 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 24",artloan_b4_0024,image/jpg,,,yes,image,/objects/artloan_b4_0024.jpg,artloan_b4_0024.jpg,/objects/small/artloan_b4_0024_sm.jpg,/objects/thumbs/artloan_b4_0024_th.jpg,,,,,,,
artloanprogram_00090,Wild Turkey,"Lisa, W.H.",,color,turkey hen with young,animals ; Audubon ; birds,12 7/8 in x 18 2/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 25",artloan_b4_0025,image/jpg,,,yes,image,/objects/artloan_b4_0025.jpg,artloan_b4_0025.jpg,/objects/small/artloan_b4_0025_sm.jpg,/objects/thumbs/artloan_b4_0025_th.jpg,,,,,,,
artloanprogram_00091,Ruffed Grouse,"Havell, R.",,color,three birds surrounded by vegetation,animals ; Audubon ; birds,12 7/8 in x 17 5/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 26",artloan_b4_0026,image/jpg,,,yes,image,/objects/artloan_b4_0026.jpg,artloan_b4_0026.jpg,/objects/small/artloan_b4_0026_sm.jpg,/objects/thumbs/artloan_b4_0026_th.jpg,,,,,,,
artloanprogram_00092,Mallard Duck,"Havell, R.",1834,color,four ducks surrounded by marsh,animals ; Audubon ; birds,12 6/8 in x 18 2/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 27",artloan_b4_0027,image/jpg,,,yes,image,/objects/artloan_b4_0027.jpg,artloan_b4_0027.jpg,/objects/small/artloan_b4_0027_sm.jpg,/objects/thumbs/artloan_b4_0027_th.jpg,,,,,,,
artloanprogram_00093,Cardinal Grosbeak,"Havell, R.",1833,color,2 cardinals on tree branches,animals ; Audubon ; birds,18 3/8 in x 11 6/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 28",artloan_b4_0028,image/jpg,,,yes,image,/objects/artloan_b4_0028.jpg,artloan_b4_0028.jpg,/objects/small/artloan_b4_0028_sm.jpg,/objects/thumbs/artloan_b4_0028_th.jpg,,,,,,,
artloanprogram_00094,Great American Cock Male,"Edin, W.H. Lizars",,color,wild turkey surrounded by vegetation,animals ; Audubon ; birds,17 7/8 in x 12 3/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 29",artloan_b4_0029,image/jpg,,,yes,image,/objects/artloan_b4_0029.jpg,artloan_b4_0029.jpg,/objects/small/artloan_b4_0029_sm.jpg,/objects/thumbs/artloan_b4_0029_th.jpg,,,,,,,
artloanprogram_00095,American Robin,"Havell, R.",1832,color,robins and nest in tree branches,animals ; Audubon ; birds,18 3/8 in x 12 5/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 30",artloan_b4_0030,image/jpg,,,yes,image,/objects/artloan_b4_0030.jpg,artloan_b4_0030.jpg,/objects/small/artloan_b4_0030_sm.jpg,/objects/thumbs/artloan_b4_0030_th.jpg,,,,,,,
artloanprogram_00096,Red-winged Starling,"Havell, R.",1829,color,four birds in tree branches,animals ; Audubon ; birds,18 1/2 in x 14 1/2 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 31",artloan_b4_0031,image/jpg,,,yes,image,/objects/artloan_b4_0031.jpg,artloan_b4_0031.jpg,/objects/small/artloan_b4_0031_sm.jpg,/objects/thumbs/artloan_b4_0031_th.jpg,,,,,,,
artloanprogram_00097,Falstaff Inn,Robt. Smith Ale Brewing Co.,,color,town corner with businesses,building ; town,17 2/8 in x 20 6/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 32",artloan_b4_0032,image/jpg,,,yes,image,/objects/artloan_b4_0032.jpg,artloan_b4_0032.jpg,/objects/small/artloan_b4_0032_sm.jpg,/objects/thumbs/artloan_b4_0032_th.jpg,,,,,,,
artloanprogram_00098,Spread Eagle Inn,Robt. Smith Ale Brewing Co.,,color,inn with horse-drawn carriages and people,building ; town,17 2/8 in x 20 6/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 33",artloan_b4_0033,image/jpg,,,yes,image,/objects/artloan_b4_0033.jpg,artloan_b4_0033.jpg,/objects/small/artloan_b4_0033_sm.jpg,/objects/thumbs/artloan_b4_0033_th.jpg,,,,,,,
artloanprogram_00099,Indian Queen Hotel,Robt. Smith Ale Brewing Co.,,color,town street with horse-drawn carriages and people,building ; town,17 2/8 in x 20 6/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 34",artloan_b4_0034,image/jpg,,,yes,image,/objects/artloan_b4_0034.jpg,artloan_b4_0034.jpg,/objects/small/artloan_b4_0034_sm.jpg,/objects/thumbs/artloan_b4_0034_th.jpg,,,,,,,
artloanprogram_00100,London Coffee House,Robt. Smith Ale Brewing Co.,,color,"street corner with businesses, carriages, and people",building ; town,17 2/8 in x 20 6/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 35",artloan_b4_0035,image/jpg,,,yes,image,/objects/artloan_b4_0035.jpg,artloan_b4_0035.jpg,/objects/small/artloan_b4_0035_sm.jpg,/objects/thumbs/artloan_b4_0035_th.jpg,,,,,,,
artloanprogram_00101,The Three Crowns,Robt. Smith Ale Brewing Co.,,color,town street with businesses and people,building ; town,17 2/8 in x 20 6/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 36",artloan_b4_0036,image/jpg,,,yes,image,/objects/artloan_b4_0036.jpg,artloan_b4_0036.jpg,/objects/small/artloan_b4_0036_sm.jpg,/objects/thumbs/artloan_b4_0036_th.jpg,,,,,,,
artloanprogram_00102,Penny Pot Tavern and Landing,Robt. Smith Ale Brewing Co.,,color,"buildings with riverfront, people, and boats",building ; town ; river,17 2/8 in x 20 6/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 37",artloan_b4_0037,image/jpg,,,yes,image,/objects/artloan_b4_0037.jpg,artloan_b4_0037.jpg,/objects/small/artloan_b4_0037_sm.jpg,/objects/thumbs/artloan_b4_0037_th.jpg,,,,,,,
artloanprogram_00103,State House Tavern,Robt. Smith Ale Brewing Co.,,color,buildings with people outside,building ; town,17 2/8 in x 20 6/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 38",artloan_b4_0038,image/jpg,,,yes,image,/objects/artloan_b4_0038.jpg,artloan_b4_0038.jpg,/objects/small/artloan_b4_0038_sm.jpg,/objects/thumbs/artloan_b4_0038_th.jpg,,,,,,,
artloanprogram_00104,Black Horse Inn Yard,Robt. Smith Ale Brewing Co.,,color,"town street with carriages, businesses, and people",building ; town,17 2/8 in x 20 6/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 39",artloan_b4_0039,image/jpg,,,yes,image,/objects/artloan_b4_0039.jpg,artloan_b4_0039.jpg,/objects/small/artloan_b4_0039_sm.jpg,/objects/thumbs/artloan_b4_0039_th.jpg,,,,,,,
artloanprogram_00105,City Tavern,Robt. Smith Ale Brewing Co.,,color,"town street with businesses, carriages, and people",building ; town,17 2/8 in x 20 6/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 40",artloan_b4_0040,image/jpg,,,yes,image,/objects/artloan_b4_0040.jpg,artloan_b4_0040.jpg,/objects/small/artloan_b4_0040_sm.jpg,/objects/thumbs/artloan_b4_0040_th.jpg,,,,,,,
artloanprogram_00106,Drawbridge and Blue Anchor Inn,Robt. Smith Ale Brewing Co.,,color,"town street with businesses, people, and drawbridge over river",building ; town ; river,17 2/8 in x 20 6/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 41",artloan_b4_0041,image/jpg,,,yes,image,/objects/artloan_b4_0041.jpg,artloan_b4_0041.jpg,/objects/small/artloan_b4_0041_sm.jpg,/objects/thumbs/artloan_b4_0041_th.jpg,,,,,,,
artloanprogram_00107,Moon and Seven Stars,Robt. Smith Ale Brewing Co.,,color,"snowy town street with people, buildings, and sleighs",building ; town ; snow,17 2/8 in x 20 6/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 42",artloan_b4_0042,image/jpg,,,yes,image,/objects/artloan_b4_0042.jpg,artloan_b4_0042.jpg,/objects/small/artloan_b4_0042_sm.jpg,/objects/thumbs/artloan_b4_0042_th.jpg,,,,,,,
artloanprogram_00108,Smith's 1774 Brewery,Robt. Smith Ale Brewing Co.,,color,"town street with people, businesses, and carriages",building ; town,17 2/8 in x 20 6/8 in,,print,Not Framed,Not Matted,"Art Loan, box 4, item 43",artloan_b4_0043,image/jpg,,,yes,image,/objects/artloan_b4_0043.jpg,artloan_b4_0043.jpg,/objects/small/artloan_b4_0043_sm.jpg,/objects/thumbs/artloan_b4_0043_th.jpg,,,,,,,
artloanprogram_00109,The Subway Stairs,"Slove, John",,black-and-white,woman on subway stairs surrounded by people,cityscape ; woman ; people,14 in x 11 in,,drawing,Not Framed,Matted,"Art Loan, box 5, item 1",artloan_b5_0001,image/jpg,,,yes,image,/objects/artloan_b5_0001.jpg,artloan_b5_0001.jpg,/objects/small/artloan_b5_0001_sm.jpg,/objects/thumbs/artloan_b5_0001_th.jpg,,,,,,,
artloanprogram_00110,Woman at Desk,"Oberterrfer, H. Amiand",,black-and-white,woman sitting at table by window,woman,13 in x 10 in,,drawing,Not Framed,Not Matted,"Art Loan, box 5, item 2",artloan_b5_0002,image/jpg,,,yes,image,/objects/artloan_b5_0002.jpg,artloan_b5_0002.jpg,/objects/small/artloan_b5_0002_sm.jpg,/objects/thumbs/artloan_b5_0002_th.jpg,,,,,,,
artloanprogram_00111,Rooster,"May, S.",1954,color,abstract and colorful rooster,animal ; colorful ; abstract,9 1/2 in x 7 1/8 in,,print,Not Framed,Not Matted,"Art Loan, box 5, item 3",artloan_b5_0003,image/jpg,,,yes,image,/objects/artloan_b5_0003.jpg,artloan_b5_0003.jpg,/objects/small/artloan_b5_0003_sm.jpg,/objects/thumbs/artloan_b5_0003_th.jpg,,,,,,,
artloanprogram_00112,The Sea,Schneidler,,color,abstract shapes,colorful ; abstract,13 7/8 in x 9 7/8 in,,print,Not Framed,Not Matted,"Art Loan, box 5, item 4",artloan_b5_0004,image/jpg,,,yes,image,/objects/artloan_b5_0004.jpg,artloan_b5_0004.jpg,/objects/small/artloan_b5_0004_sm.jpg,/objects/thumbs/artloan_b5_0004_th.jpg,,,,,,,
artloanprogram_00114,Abstract Shapes,Lanskoy,,color,abstract shapes,abstract ; colorful,15 1/8 in x 9 5/8 in,,painting,Not Framed,Not Matted,"Art Loan, box 5, item 6",artloan_b5_0006,image/jpg,,,yes,image,/objects/artloan_b5_0006.jpg,artloan_b5_0006.jpg,/objects/small/artloan_b5_0006_sm.jpg,/objects/thumbs/artloan_b5_0006_th.jpg,,,,,,,
artloanprogram_00115,Ali Baba,"Beardsley, Aubrey",,black-and-white,portrait of a woman,person ; portrait,13 in x 10 in,,print,Not Framed,Not Matted,"Art Loan, box 5, item 7",artloan_b5_0007,image/jpg,,,yes,image,/objects/artloan_b5_0007.jpg,artloan_b5_0007.jpg,/objects/small/artloan_b5_0007_sm.jpg,/objects/thumbs/artloan_b5_0007_th.jpg,,,,,,,
artloanprogram_00116,Qezicht Up Antwerpen,"Korthaus, Jan",,color,river view of Antwerp with boats and buildings,river ; cityscape,16 in x 13 2/8 in,,watercolor,Not Framed,Matted,"Art Loan, box 5, item 8",artloan_b5_0008,image/jpg,,,yes,image,/objects/artloan_b5_0008.jpg,artloan_b5_0008.jpg,/objects/small/artloan_b5_0008_sm.jpg,/objects/thumbs/artloan_b5_0008_th.jpg,,,,,,,
artloanprogram_00117,Two Ink Drawings,"Kulim, A.",,black-and-white,top: bear ; bottom: man with horse on mountain,animals ; people,17 6/8 in x 9 3/8 in,,drawing,Not Framed,Matted,"Art Loan, box 5, item 9",artloan_b5_0009,image/jpg,,,yes,image,/objects/artloan_b5_0009.jpg,artloan_b5_0009.jpg,/objects/small/artloan_b5_0009_sm.jpg,/objects/thumbs/artloan_b5_0009_th.jpg,,,,,,,
artloanprogram_00119,Three People Seated on Bench,Ralkin,,black-and-white,two men and woman on bench,people,14 1/2 x 16 1/2 in,,drawing,Not Framed,Matted,"Art Loan, box 5, item 11",artloan_b5_0011,image/jpg,,,yes,image,/objects/artloan_b5_0011.jpg,artloan_b5_0011.jpg,/objects/small/artloan_b5_0011_sm.jpg,/objects/thumbs/artloan_b5_0011_th.jpg,,,,,,,
artloanprogram_00120,"Old New Bedford Whaler ""Andrew Hicke""","Hunter, F. Leo",,black-and-white,ship on water,ship ; seascape,11 2/8 in x 15 2/8 in,,etching,Not Framed,Not Matted,"Art Loan, box 5, item 12",artloan_b5_0012,image/jpg,,,yes,image,/objects/artloan_b5_0012.jpg,artloan_b5_0012.jpg,/objects/small/artloan_b5_0012_sm.jpg,/objects/thumbs/artloan_b5_0012_th.jpg,,,,,,,
artloanprogram_00121,Waterfront,"Swann, James",,black-and-white,waterfront park with columned building and people,people ; water,13 in x 15 1/2 in,,etching,Not Framed,Matted,"Art Loan, box 5, item 13",artloan_b5_0013,image/jpg,,,yes,image,/objects/artloan_b5_0013.jpg,artloan_b5_0013.jpg,/objects/small/artloan_b5_0013_sm.jpg,/objects/thumbs/artloan_b5_0013_th.jpg,,,,,,,
artloanprogram_00122,City Bridge Over Water,Schneider,1927-08,black-and-white,cityscape with bridge over river,river; bridge ; cityscape,13 2/8 in x 17 in,,etching,Not Framed,Matted,"Art Loan, box 5, item 14",artloan_b5_0014,image/jpg,,,yes,image,/objects/artloan_b5_0014.jpg,artloan_b5_0014.jpg,/objects/small/artloan_b5_0014_sm.jpg,/objects/thumbs/artloan_b5_0014_th.jpg,,,,,,,
artloanprogram_00124,Half Nude Woman,Perez,,black-and-white,nude woman,woman ; portrait,10 3/8 in x 8 3/8 in,,etching,Not Framed,Matted,"Art Loan, box 5, item 16",artloan_b5_0016,image/jpg,,,yes,image,/objects/artloan_b5_0016.jpg,artloan_b5_0016.jpg,/objects/small/artloan_b5_0016_sm.jpg,/objects/thumbs/artloan_b5_0016_th.jpg,,,,,,,
artloanprogram_00125,Wanderer,Sams,,black-and-white,three men on mountain,men ; people,11 1/2 in x 13 3/8 in,,etching,Not Framed,Matted,"Art Loan, box 5, item 17",artloan_b5_0017,image/jpg,,,yes,image,/objects/artloan_b5_0017.jpg,artloan_b5_0017.jpg,/objects/small/artloan_b5_0017_sm.jpg,/objects/thumbs/artloan_b5_0017_th.jpg,,,,,,,
artloanprogram_00126,Woman and Man,Simm XXXXI,,color,abstract man and woman holding weapons,people ; abstract,16 in x 13 in,,painting,Not Framed,Matted,"Art Loan, box 5, item 18",artloan_b5_0018,image/jpg,,,yes,image,/objects/artloan_b5_0018.jpg,artloan_b5_0018.jpg,/objects/small/artloan_b5_0018_sm.jpg,/objects/thumbs/artloan_b5_0018_th.jpg,,,,,,,
artloanprogram_00128,(standing girl),"Taubes, Frederick",,black-and-white,portrait of woman,woman ; portrait,17 1/2 in x 12 3/8 in,,etching,Not Framed,Not Matted,"Art Loan, box 5, item 20",artloan_b5_0020,image/jpg,,,yes,image,/objects/artloan_b5_0020.jpg,artloan_b5_0020.jpg,/objects/small/artloan_b5_0020_sm.jpg,/objects/thumbs/artloan_b5_0020_th.jpg,,,,,,,
artloanprogram_00129,Two Men,Schliez,,black-and-white,2 men on mountain with sun rays and clouds,men ; clouds ; sky,16 5/8 in x 10 1/2 in,,print,Not Framed,Not Matted,"Art Loan, box 5, item 21",artloan_b5_0021,image/jpg,,,yes,image,/objects/artloan_b5_0021.jpg,artloan_b5_0021.jpg,/objects/small/artloan_b5_0021_sm.jpg,/objects/thumbs/artloan_b5_0021_th.jpg,,,,,,,
artloanprogram_00131,Person with Instrument,Malou,1965,black-and-white,woman playing stringed instrument,person ; instrument,20 in x 16 in,,print,Not Framed,Matted,"Art Loan, box 5, item 23",artloan_b5_0023,image/jpg,,,yes,image,/objects/artloan_b5_0023.jpg,artloan_b5_0023.jpg,/objects/small/artloan_b5_0023_sm.jpg,/objects/thumbs/artloan_b5_0023_th.jpg,,,,,,,
artloanprogram_00132,Portrait,"Ghani, Niorli",1912,color,portrait of a woman,portrait ; woman,22 2/8 in x 16 1/8 in,,drawing,Not Framed,,"Art Loan, box 5, item 24",artloan_b5_0024,image/jpg,,,yes,image,/objects/artloan_b5_0024.jpg,artloan_b5_0024.jpg,/objects/small/artloan_b5_0024_sm.jpg,/objects/thumbs/artloan_b5_0024_th.jpg,,,,,,,
artloanprogram_00133,Poem 70-52,"Maki, Haku",,color,Print depicting an embossed poem with a silver tear and golden cirlce.,poem ; shapes ; metalic,10 2/8 in. x 12 6/8 in.,,print,Framed,Matted,"Art Loan, box 7, item 1",artloan_b7_0001,image/jpg,,,yes,image,/objects/artloan_b7_0001.jpg,artloan_b7_0001.jpg,/objects/small/artloan_b7_0001_sm.jpg,/objects/thumbs/artloan_b7_0001_th.jpg,,,,,,,
