objectid,title,creator,date,color,description,subject,extent,size,medium,frame status,mat status,source,identifier,format,rights,rightsstatement,available,display_template,object_location,filename,image_small,image_thumb,image_alt_text,dominant color,Copies,Location,Donor if know,type,display_template
artloanprogram_00015,Still Life,"Millie, S.",1988-09,no,still life with candle and flowers,flowers ; still life,9 1/2 x 14 5/8,small,etching,Not Framed,Not Matted,"Art Loan, box 1, item 15",artloan_b1_0015,image/jpg,,,yes,image,/objects/artloan_b1_0015.jpg,artloan_b1_0015.jpg,/objects/small/artloan_b1_0015_sm.jpg,/objects/thumbs/artloan_b1_0015_th.jpg,,black,,,,,image
artloanprogram_00016,"Cape May Point, N.J.",Gustovoy,1969,no,buildings along a coastline,seascape ; water,13 7/8 x 16 7/8,medium,drawing,Not Framed,Matted,"Art Loan, box 1, item 16",artloan_b1_0016,image/jpg,,,yes,image,/objects/artloan_b1_0016.jpg,artloan_b1_0016.jpg,/objects/small/artloan_b1_0016_sm.jpg,/objects/thumbs/artloan_b1_0016_th.jpg,,black,,,,,image
artloanprogram_00017,Tree,"P., Sam",1971-09,no,large tree,nature ; trees,9 3/8 in x 12 7/8 in,small,drawing,Not Framed,Matted,"Art Loan, box 1, item 17",artloan_b1_0017,image/jpg,,,yes,image,/objects/artloan_b1_0017.jpg,artloan_b1_0017.jpg,/objects/small/artloan_b1_0017_sm.jpg,/objects/thumbs/artloan_b1_0017_th.jpg,,black,,,,,image
artloanprogram_00018,"Trinity Church, New York City","Swann, Don",,no,street view of NYC with people,cityscape ; figures,10 1/8 in x 8 2/8 in,small,drawing,Not Framed,Not Matted,"Art Loan, box 1, item 18",artloan_b1_0018,image/jpg,,,yes,image,/objects/artloan_b1_0018.jpg,artloan_b1_0018.jpg,/objects/small/artloan_b1_0018_sm.jpg,/objects/thumbs/artloan_b1_0018_th.jpg,,black,,,,,image
artloanprogram_00019,New York Stock Exchange,"Swann, Don",,no,black and white street view of NYC,cityscape,12 in x 10 in,small,drawing,Not Framed,Matted,"Art Loan, box 1, item 19",artloan_b1_0019,image/jpg,,,yes,image,/objects/artloan_b1_0019.jpg,artloan_b1_0019.jpg,/objects/small/artloan_b1_0019_sm.jpg,/objects/thumbs/artloan_b1_0019_th.jpg,,black,,,,,image
artloanprogram_00020,Three Women,"Meyer, Eleanor",,no,three women traveling or doing labor,women ; labor ; figures,7 in x 6 1/8 in,small,print,Not Framed,Not Matted,"Art Loan, box 1, item 20",artloan_b1_0020,image/jpg,,,yes,image,/objects/artloan_b1_0020.jpg,artloan_b1_0020.jpg,/objects/small/artloan_b1_0020_sm.jpg,/objects/thumbs/artloan_b1_0020_th.jpg,,black,,,,,
artloanprogram_00021,Departure,"Hook, Rob",,no,boat in water with buildings along horizon,seascape ; boats,14 in x 18 in,medium,print,Not Framed,Not Matted,"Art Loan, box 1, item 21",artloan_b1_0021,image/jpg,,,yes,image,/objects/artloan_b1_0021.jpg,artloan_b1_0021.jpg,/objects/small/artloan_b1_0021_sm.jpg,/objects/thumbs/artloan_b1_0021_th.jpg,,black,,,,,
artloanprogram_00022,Winterscape,"Eckmair, Frank",,no,trees and stones in water,nature ; trees,15 1/8 in x 12 1/8,medium,woodcut,Not Framed,Not Matted,"Art Loan, box 1, item 22",artloan_b1_0022,image/jpg,,,yes,image,/objects/artloan_b1_0022.jpg,artloan_b1_0022.jpg,/objects/small/artloan_b1_0022_sm.jpg,/objects/thumbs/artloan_b1_0022_th.jpg,,black,,,,,
artloanprogram_00023,Study,Unknown,,no,desk and chair in a study with wall decor,interior,15.5 in x 11 in,medium,drawing,Not Framed,Not Matted,"Art Loan, box 1, item 23",artloan_b1_0023,image/jpg,,,yes,image,/objects/artloan_b1_0023.jpg,artloan_b1_0023.jpg,/objects/small/artloan_b1_0023_sm.jpg,/objects/thumbs/artloan_b1_0023_th.jpg,,black,,,,,
artloanprogram_00024,Woman and Bird,Briss,,yes,portrait of a woman holding a gray bird,women ; birds ; figure,17 6/8 in x 11 7/8 in,medium,painting,Not Framed,Not Matted,"Art Loan, box 1, item 24",artloan_b1_0024,image/jpg,,,yes,image,/objects/artloan_b1_0024.jpg,artloan_b1_0024.jpg,/objects/small/artloan_b1_0024_sm.jpg,/objects/thumbs/artloan_b1_0024_th.jpg,,yellow ; blue,,,,,
artloanprogram_00025,Woman on Bed,"Dolice, Leon",,no,woman laying on her side on a bed,women ; figures ; interior,14 in x 18 in,medium,etching,Not Framed,Matted,"Art Loan, box 1, item 25",artloan_b1_0025,image/jpg,,,yes,image,/objects/artloan_b1_0025.jpg,artloan_b1_0025.jpg,/objects/small/artloan_b1_0025_sm.jpg,/objects/thumbs/artloan_b1_0025_th.jpg,,black,,,,,
artloanprogram_00026,Donkey,"Cabot, Hugh",,no,semi-abstract drawing of a donkey,animals,15 1/2 in 11 in,medium,drawing,Not Framed,Not Matted,"Art Loan, box 1, item 26",artloan_b1_0026,image/jpg,,,yes,image,/objects/artloan_b1_0026.jpg,artloan_b1_0026.jpg,/objects/small/artloan_b1_0026_sm.jpg,/objects/thumbs/artloan_b1_0026_th.jpg,,black,,,,,
artloanprogram_00027,Trees,"Dodge, F. Farrand",,no,detailed black-and-white etching of forest,nature ; trees,13 1/8 in x 11 5/8,medium,etching,Not Framed,Not Matted,"Art Loan, box 1, item 27",artloan_b1_0027,image/jpg,,,yes,image,/objects/artloan_b1_0027.jpg,artloan_b1_0027.jpg,/objects/small/artloan_b1_0027_sm.jpg,/objects/thumbs/artloan_b1_0027_th.jpg,,black,,,,,
artloanprogram_00028,Town,"Swann, Don",,yes,abstract cabins and village,landscape,8 1/8 in x 15 1/2,medium,watercolor,Not Framed,Not Matted,"Art Loan, box 1, item 28",artloan_b1_0028,image/jpg,,,yes,image,/objects/artloan_b1_0028.jpg,artloan_b1_0028.jpg,/objects/small/artloan_b1_0028_sm.jpg,/objects/thumbs/artloan_b1_0028_th.jpg,,red,,,,,
artloanprogram_00029,Preve el'a,"Torizzo, Angelica",1970,no,abstract image of two women in foreground and three figures in background,figures ; women,14 1/8 in x 11 7/8,small,print,Not Framed,Not Matted,"Art Loan, box 1, item 29",artloan_b1_0029,image/jpg,,,yes,image,/objects/artloan_b1_0029.jpg,artloan_b1_0029.jpg,/objects/small/artloan_b1_0029_sm.jpg,/objects/thumbs/artloan_b1_0029_th.jpg,,black,,,,,
artloanprogram_00030,Reflections,"Margolies, S.L.",,no,large willow tree in front of a lake and cityscape,trees ; water ; cityscape,19 2/8 in x 15 2/8 in,medium,mezzotint,Not Framed,Matted,"Art Loan, box 1, item 30",artloan_b1_0030,image/jpg,,,yes,image,/objects/artloan_b1_0030.jpg,artloan_b1_0030.jpg,/objects/small/artloan_b1_0030_sm.jpg,/objects/thumbs/artloan_b1_0030_th.jpg,,black,,,,,
